id,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,yakasi
941346814935323677,467207672,Beyoglu,41.03932553650465,28.98019629983368,Entire home/apt,2000.0,100,0,No Review,0.0,4,364,0,Avrupa
941350925579127610,467207672,Beyoglu,41.040665388910426,28.981986075185947,Entire home/apt,3652.0,100,0,No Review,0.0,4,364,0,Avrupa
941357965713665587,527292646,Bahcelievler,40.9953,28.85143,Entire home/apt,2000.0,100,0,No Review,0.0,1,365,0,Avrupa
941376574323297979,9634099,Sisli,41.06058891976552,28.99038809905317,Private room,1318.0,100,1,2023-10-20,0.04,8,269,0,Avrupa
941405274954595165,521651347,Atasehir,40.97846,29.15662,Private room,644.0,100,3,2024-05-04,0.12,1,365,0,Anadolu
941540216047604383,427987711,Pendik,40.888305,29.276396,Private room,640.0,100,1,2024-09-27,0.08,1,269,0,Anadolu
941732408864994340,527265510,Pendik,40.88163196957736,29.23161841928959,Private room,414.0,100,0,No Review,0.0,1,269,0,Anadolu
941814655379436628,429229337,Bagcilar,41.05905,28.81317,Entire home/apt,1225.0,100,16,2025-02-18,0.61,12,269,3,Avrupa
943555580907098015,209273081,Beyoglu,41.0228166,28.9760228,Private room,5172.0,2,46,2025-09-19,1.78,80,333,19,Avrupa
943585897661709782,209273081,Beyoglu,41.0228166,28.9760228,Entire home/apt,6196.0,2,29,2025-08-15,1.1,80,295,8,Avrupa
943602254717928491,209273081,Beyoglu,41.0228166,28.9760228,Private room,5225.0,2,3,2025-08-23,0.12,80,322,1,Avrupa
943628179859659359,209273081,Beyoglu,41.0228166,28.9760228,Entire home/apt,6196.0,2,20,2025-09-13,0.82,80,306,10,Avrupa
943707371629575110,527935276,Sisli,41.0585752,28.995653,Private room,313.0,100,0,No Review,0.0,1,365,0,Avrupa
943846642766140934,102326561,Beykoz,41.09944,29.0653,Entire home/apt,2536.0,2,29,2025-09-21,1.2,1,73,17,Anadolu
943857883375708827,38971934,Besiktas,41.09004,29.00621,Entire home/apt,3693.0,100,0,No Review,0.0,1,365,0,Avrupa
943883942668680574,8697180,Besiktas,41.04529624348143,28.99681238982289,Entire home/apt,5428.0,100,14,2024-01-21,0.54,1,365,0,Avrupa
943942442103287870,397646801,Kadikoy,40.98725758248088,29.035515782987485,Private room,450.0,100,0,No Review,0.0,1,364,0,Anadolu
943944034885722367,57098633,Maltepe,40.92606,29.13316,Entire home/apt,2429.0,1,226,2025-09-22,8.71,13,98,121,Anadolu
943964408107018717,399994607,Sisli,41.0500649,28.9876011,Entire home/apt,6655.0,100,0,No Review,0.0,2,364,0,Avrupa
943968164393988163,57098633,Maltepe,40.92526,29.13374,Entire home/apt,2216.0,1,109,2025-09-25,4.28,13,127,57,Anadolu
943975335027019540,202245660,Beyoglu,41.0321251,28.9860581,Entire home/apt,3549.0,4,8,2025-08-20,0.3,4,244,4,Avrupa
943977024746964852,57098633,Maltepe,40.92438,29.13287,Entire home/apt,2533.0,1,60,2025-07-13,2.3,13,89,23,Anadolu
